"Western Governors University
4001 South 700 East, 
Salt Lake City, UT 84107",Salt Lake City,84107,0
"International Peace Gardens
 1060 Dalton Ave S",Salt Lake City,84107,1
"Sugar House Park
 1330 2100 S",Salt Lake City,84107,2
"Taylorsville-Bennion Heritage City Gov Off
 1488 4800 S",Salt Lake City,84107,3
"Salt Lake City Division of Health Services 
 177 W Price Ave",Salt Lake City,84107,4
"South Salt Lake Public Works
 195 W Oakland Ave",Salt Lake City,84107,5
"Salt Lake City Streets and Sanitation
 2010 W 500 S",Salt Lake City,84107,6
"Deker Lake
 2300 Parkway Blvd",Salt Lake City,84107,7
"Salt Lake City Ottinger Hall
 233 Canyon Rd",Salt Lake City,84107,8
"Columbus Library
 2530 S 500 E",Salt Lake City,84107,9
"Taylorsville City Hall
 2600 Taylorsville Blvd",Salt Lake City,84107,10
"South Salt Lake Police
 2835 Main St",Salt Lake City,84107,11
"Council Hall
 300 State St",Salt Lake City,84107,12
"Redwood Park
 3060 Lester St",Salt Lake City,84107,13
"Salt Lake County Mental Health
 3148 S 1100 W",Salt Lake City,84107,14
"Salt Lake County/United Police Dept
 3365 S 900 W",Salt Lake City,84107,15
"West Valley Prosecutor
 3575 W Valley Central Sta bus Loop",Salt Lake City,84107,16
"Housing Auth. of Salt Lake County
 3595 Main St",Salt Lake City,84107,17
"Utah DMV Administrative Office
 380 W 2880 S",Salt Lake City,84107,18
"Third District Juvenile Court
 410 S State St",Salt Lake City,84107,19
"Cottonwood Regional Softball Complex
 4300 S 1300 E",Salt Lake City,84107,20
"Holiday City Office
 4580 S 2300 E",Salt Lake City,84107,21
"Murray City Museum
 5025 State St",Salt Lake City,84107,22
"Valley Regional Softball Complex
 5100 South 2700 West",Salt Lake City,84107,23
"City Center of Rock Springs
 5383 South 900 East #104",Salt Lake City,84107,24
"Rice Terrace Pavilion Park
 600 E 900 South",Salt Lake City,84107,25
"Wheeler Historic Farm 
 6351 South 900 East",Salt Lake City,84107,26
