"Package
ID",Address,"Delivery
Deadline","Weight
KILO",Special Notes
1,"South Salt Lake Public Works
 195 W Oakland Ave",10:30,21,
2,"Columbus Library
 2530 S 500 E",EOD,44,TRUCK 2
3,"Salt Lake City Ottinger Hall
 233 Canyon Rd",EOD,2,
4,"Utah DMV Administrative Office
 380 W 2880 S",EOD,4,
5,"Third District Juvenile Court
 410 S State St",EOD,5,
6,"Redwood Park
 3060 Lester St",10:30,88,DELAYED 09:05
7,"Sugar House Park
 1330 2100 S",EOD,8,
8,"Council Hall
 300 State St",EOD,9,
9,"Third District Juvenile Court
 410 S State St",EOD,2,DELAYED 10:20
10,"Rice Terrace Pavilion Park
 600 E 900 South",EOD,1,
11,"Taylorsville City Hall
 2600 Taylorsville Blvd",EOD,1,
12,"West Valley Prosecutor
 3575 W Valley Central Sta bus Loop",EOD,1,
13,"Salt Lake City Streets and Sanitation
 2010 W 500 S",10:30,2,
14,"Cottonwood Regional Softball Complex
 4300 S 1300 E",10:30,88,PACK 15 19
15,"Holiday City Office
 4580 S 2300 E",09:00,4,
16,"Holiday City Office
 4580 S 2300 E",10:30,88,PACK 13 19
17,"Salt Lake County Mental Health
 3148 S 1100 W",EOD,2,
18,"Taylorsville-Bennion Heritage City Gov Off
 1488 4800 S",EOD,6,TRUCK 2
19,"Salt Lake City Division of Health Services 
 177 W Price Ave",EOD,37,
20,"Housing Auth. of Salt Lake County
 3595 Main St",10:30,37,PACK 13 15
21,"Housing Auth. of Salt Lake County
 3595 Main St",EOD,3,
22,"Wheeler Historic Farm 
 6351 South 900 East",EOD,2,
23,"Valley Regional Softball Complex
 5100 South 2700 West",EOD,5,
24,"Murray City Museum
 5025 State St",EOD,7,
25,"City Center of Rock Springs
 5383 South 900 East #104",10:30,7,DELAYED 09:05
26,"City Center of Rock Springs
 5383 South 900 East #104",EOD,25,
27,"International Peace Gardens
 1060 Dalton Ave S",EOD,5,
28,"South Salt Lake Police
 2835 Main St",EOD,7,DELAYED 09:05
29,"Sugar House Park
 1330 2100 S",10:30,2,
30,"Council Hall
 300 State St",10:30,1,
31,"Salt Lake County/United Police Dept
 3365 S 900 W",10:30,1,
32,"Salt Lake County/United Police Dept
 3365 S 900 W",EOD,1,DELAYED 09:05
33,"Columbus Library
 2530 S 500 E",EOD,1,
34,"Holiday City Office
 4580 S 2300 E",10:30,2,
35,"International Peace Gardens
 1060 Dalton Ave S",EOD,88,
36,"Deker Lake
 2300 Parkway Blvd",EOD,88,TRUCK 2
37,"Third District Juvenile Court
 410 S State St",10:30,2,
38,"Third District Juvenile Court
 410 S State St",EOD,9,TRUCK 2
39,"Salt Lake City Streets and Sanitation
 2010 W 500 S",EOD,9,
40,"Utah DMV Administrative Office
 380 W 2880 S",10:30,45,
